object,color,count_base,count_pattern,p_base,p_pattern,binding_strength,binding_gap,p_obj,p_color,p_joint,pmi,ppmi,npmi,binding_score,category
polar bear,blue,3,1,0.03409090909090909,0.011363636363636364,0.33333333333333337,0.022727272727272724,0.00014667326696368003,0.01797247542806093,1.6667416700418185e-06,-0.4584229801745257,0.0,-0.0344558727238519,0.0,under
polar bear,yellow,0,0,0.0,0.0,0,0.0,0.00014667326696368003,0.0064769581297825065,0.0,-5.074376067040501,0.0,-1.0,0.0,never
polar bear,red,0,0,0.0,0.0,0,0.0,0.00014667326696368003,0.016022387674112,0.0,-5.074376067040501,0.0,-1.0,0.0,never
polar bear,green,0,0,0.0,0.0,0,0.0,0.00014667326696368003,0.011595521798480932,0.0,-5.074376067040501,0.0,-1.0,0.0,never
polar bear,pink,0,0,0.0,0.0,0,0.0,0.00014667326696368003,0.007897022032658137,0.0,-5.074376067040501,0.0,-1.0,0.0,never
polar bear,orange,0,0,0.0,0.0,0,0.0,0.00014667326696368003,0.004475201384062283,0.0,-5.074376067040501,0.0,-1.0,0.0,never
polar bear,purple,1,0,0.011363636363636364,0.0,0.0,0.011363636363636364,0.00014667326696368003,0.003536825823828739,0.0,-5.074376067040501,0.0,-1.0,0.0,never
polar bear,white,4,3,0.045454545454545456,0.03409090909090909,0.7499999999999999,0.011363636363636367,0.00014667326696368003,0.026127842419575546,5.000225010125456e-06,0.26602924805613415,0.26602924805613415,0.021794907876980078,1.3302060995551507e-06,positive
polar bear,black,2,0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.00014667326696368003,0.031599755322322835,0.0,-5.074376067040501,0.0,-1.0,0.0,never
polar bear,brown,0,0,0.0,0.0,0,0.0,0.00014667326696368003,0.006370286662899831,0.0,-5.074376067040501,0.0,-1.0,0.0,never
chalkboard,blue,1,0,0.005952380952380952,0.0,0.0,0.005952380952380952,0.00028001260056702553,0.01797247542806093,0.0,-5.074376067040501,0.0,-1.0,0.0,never
chalkboard,yellow,0,0,0.0,0.0,0,0.0,0.00028001260056702553,0.0064769581297825065,0.0,-5.074376067040501,0.0,-1.0,0.0,never
